"","Survived","Pclass","Sex","Age","Fare","Family_size","Title"
"179","0","3","female",29.6991176470588,69.55,10,"Miss"
"180","0","2","male",29.6991176470588,15.05,0,"Mr"
"181","0","3","male",9,31.3875,6,"Master"
"182","1","2","male",1,39,3,"Master"
"183","1","3","female",4,22.025,2,"Miss"
"184","0","1","male",29.6991176470588,50,0,"Mr"
"185","1","3","female",29.6991176470588,15.5,1,"Mrs"
"186","1","1","male",45,26.55,0,"Mr"
"187","0","3","male",40,15.5,2,"Mr"
"188","0","3","male",36,7.8958,0,"Mr"
"189","1","2","female",32,13,0,"Mrs"
"190","0","2","male",19,13,0,"Mr"
"191","1","3","female",19,7.8542,1,"Miss"
"192","1","2","male",3,26,2,"Master"
"193","1","1","female",44,27.7208,0,"Mrs"
"194","1","1","female",58,146.5208,0,"Miss"
"195","0","3","male",29.6991176470588,7.75,0,"Mr"
"196","0","3","male",42,8.4042,1,"Mr"
"197","1","3","female",29.6991176470588,7.75,0,"Miss"
"198","0","2","female",24,13,0,"Miss"
"199","0","3","male",28,9.5,0,"Mr"
"200","0","3","male",29.6991176470588,69.55,10,"Mr"
"201","0","3","male",34,6.4958,0,"Mr"
"202","0","3","male",45.5,7.225,0,"Mr"
"203","1","3","male",18,8.05,0,"Mr"
"204","0","3","female",2,10.4625,1,"Miss"
"205","0","3","male",32,15.85,1,"Mr"
"206","1","3","male",26,18.7875,0,"Mr"
"207","1","3","female",16,7.75,0,"Miss"
"208","1","1","male",40,31,0,"Mr"
"209","0","3","male",24,7.05,0,"Mr"
"210","1","2","female",35,21,0,"Miss"
"211","0","3","male",22,7.25,0,"Mr"
"212","0","2","male",30,13,0,"Mr"
"213","0","3","male",29.6991176470588,7.75,1,"Mr"
"214","1","1","female",31,113.275,1,"Miss"
"215","1","3","female",27,7.925,0,"Miss"
"216","0","2","male",42,27,1,"Mr"
"217","1","1","female",32,76.2917,0,"Miss"
"218","0","2","male",30,10.5,0,"Mr"
"219","1","3","male",16,8.05,0,"Mr"
"220","0","2","male",27,13,0,"Mr"
"221","0","3","male",51,8.05,0,"Mr"
"222","0","3","male",29.6991176470588,7.8958,0,"Mr"
"223","1","1","male",38,90,1,"Mr"
"224","0","3","male",22,9.35,0,"Mr"
"225","1","2","male",19,10.5,0,"Mr"
"226","0","3","male",20.5,7.25,0,"Mr"
"227","0","2","male",18,13,0,"Mr"
"228","0","3","female",29.6991176470588,25.4667,4,"Miss"
"229","1","1","female",35,83.475,1,"Mrs"
"230","0","3","male",29,7.775,0,"Mr"
"231","0","2","male",59,13.5,0,"Mr"
"232","1","3","female",5,31.3875,6,"Miss"
"233","0","2","male",24,10.5,0,"Mr"
"234","0","3","female",29.6991176470588,7.55,0,"Miss"
"235","0","2","male",44,26,1,"Mr"
"236","1","2","female",8,26.25,2,"Miss"
"237","0","2","male",19,10.5,0,"Mr"
"238","0","2","male",33,12.275,0,"Mr"
"239","0","3","female",29.6991176470588,14.4542,1,"Miss"
"240","1","3","female",29.6991176470588,15.5,1,"Miss"
"241","0","2","male",29,10.5,0,"Mr"
"242","0","3","male",22,7.125,0,"Mr"
"243","0","3","male",30,7.225,0,"Mr"
"244","0","1","male",44,90,2,"Noble male"
"245","0","3","female",25,7.775,0,"Miss"
"246","1","2","female",24,14.5,2,"Mrs"
"247","1","1","male",37,52.5542,2,"Mr"
"248","0","2","male",54,26,1,"Noble male"
"249","0","3","male",29.6991176470588,7.25,0,"Mr"
"250","0","3","female",29,10.4625,2,"Mrs"
"251","0","1","male",62,26.55,0,"Mr"
"252","0","3","male",30,16.1,1,"Mr"
"253","0","3","female",41,20.2125,2,"Mrs"
"254","1","3","female",29,15.2458,2,"Mrs"
"255","1","1","female",29.6991176470588,79.2,0,"Mrs"
"256","1","1","female",30,86.5,0,"Miss"
"257","1","1","female",35,512.3292,0,"Miss"
"258","1","2","female",50,26,1,"Mrs"
"259","0","3","male",29.6991176470588,7.75,0,"Mr"
"260","1","3","male",3,31.3875,6,"Master"
"261","0","1","male",52,79.65,2,"Mr"
"262","0","1","male",40,0,0,"Mr"
"263","0","3","female",29.6991176470588,7.75,0,"Miss"
"264","0","2","male",36,10.5,0,"Mr"
"265","0","3","male",16,39.6875,5,"Mr"
"266","1","3","male",25,7.775,1,"Mr"
"267","1","1","female",58,153.4625,1,"Mrs"
"268","1","1","female",35,135.6333,0,"Miss"
"269","0","1","male",29.6991176470588,31,0,"Mr"
"270","1","3","male",25,0,0,"Mr"
"271","1","2","female",41,19.5,1,"Mrs"
"272","0","1","male",37,29.7,1,"Mr"
"273","1","3","female",29.6991176470588,7.75,0,"Miss"
"274","1","1","female",63,77.9583,1,"Miss"
"275","0","3","female",45,7.75,0,"Miss"
"276","0","2","male",29.6991176470588,0,0,"Mr"
"277","0","3","male",7,29.125,5,"Master"
"278","1","3","female",35,20.25,2,"Mrs"
"279","0","3","male",65,7.75,0,"Mr"
"280","0","3","male",28,7.8542,0,"Mr"
"281","0","3","male",16,9.5,0,"Mr"
"282","1","3","male",19,8.05,0,"Mr"
"283","0","1","male",29.6991176470588,26,0,"Mr"
"284","0","3","male",33,8.6625,0,"Mr"
"285","1","3","male",30,9.5,0,"Mr"
"286","0","3","male",22,7.8958,0,"Mr"
"287","1","2","male",42,13,0,"Mr"
"288","1","3","female",22,7.75,0,"Miss"
"289","1","1","female",26,78.85,0,"Miss"
"290","1","1","female",19,91.0792,1,"Mrs"
"291","0","2","male",36,12.875,0,"Mr"
"292","0","3","female",24,8.85,0,"Miss"
"293","0","3","male",24,7.8958,0,"Mr"
"294","0","1","male",29.6991176470588,27.7208,0,"Mr"
"295","0","3","male",23.5,7.2292,0,"Mr"
"296","0","1","female",2,151.55,3,"Miss"
"297","1","1","male",29.6991176470588,30.5,0,"Mr"
"298","1","1","female",50,247.5208,1,"Mrs"
"299","1","3","female",29.6991176470588,7.75,0,"Miss"
"300","1","3","male",29.6991176470588,23.25,2,"Mr"
"301","0","3","male",19,0,0,"Mr"
"302","1","2","female",29.6991176470588,12.35,0,"Miss"
"303","0","3","male",29.6991176470588,8.05,0,"Mr"
"304","1","1","male",0.92,151.55,3,"Master"
"305","1","1","female",29.6991176470588,110.8833,0,"Miss"
"306","1","1","female",17,108.9,1,"Mrs"
"307","0","2","male",30,24,1,"Mr"
"308","1","1","female",30,56.9292,0,"Miss"
"309","1","1","female",24,83.1583,0,"Miss"
"310","1","1","female",18,262.375,4,"Miss"
"311","0","2","female",26,26,2,"Mrs"
"312","0","3","male",28,7.8958,0,"Mr"
"313","0","2","male",43,26.25,2,"Mr"
"314","1","3","female",26,7.8542,0,"Miss"
"315","1","2","female",24,26,1,"Mrs"
"316","0","2","male",54,14,0,"Noble male"
"317","1","1","female",31,164.8667,2,"Miss"
"318","1","1","female",40,134.5,2,"Mrs"
"319","0","3","male",22,7.25,0,"Mr"
"320","0","3","male",27,7.8958,0,"Mr"
"321","1","2","female",30,12.35,0,"Miss"
"322","1","2","female",22,29,2,"Mrs"
"323","0","3","male",29.6991176470588,69.55,10,"Mr"
"324","1","1","female",36,135.6333,0,"Miss"
"325","0","3","male",61,6.2375,0,"Mr"
"326","1","2","female",36,13,0,"Mrs"
"327","1","3","female",31,20.525,2,"Mrs"
"328","1","1","female",16,57.9792,1,"Miss"
"329","1","3","female",29.6991176470588,23.25,2,"Miss"
"330","0","1","male",45.5,28.5,0,"Mr"
"331","0","1","male",38,153.4625,1,"Mr"
"332","0","3","male",16,18,2,"Mr"
"333","1","1","female",29.6991176470588,133.65,1,"Mrs"
"334","0","3","male",29.6991176470588,7.8958,0,"Mr"
"335","0","1","male",29,66.6,1,"Mr"
"336","1","1","female",41,134.5,0,"Miss"
"337","1","3","male",45,8.05,0,"Mr"
"338","0","1","male",45,35.5,0,"Mr"
"339","1","2","male",2,26,2,"Master"
"340","1","1","female",24,263,5,"Miss"
"341","0","2","male",28,13,0,"Mr"
"342","0","2","male",25,13,0,"Mr"
"343","0","2","male",36,13,0,"Mr"
"344","1","2","female",24,13,0,"Miss"
"345","1","2","female",40,13,0,"Miss"
"346","1","3","female",29.6991176470588,16.1,1,"Mrs"
"347","1","3","male",3,15.9,2,"Master"
"348","0","3","male",42,8.6625,0,"Mr"
"349","0","3","male",23,9.225,0,"Mr"
"350","0","1","male",29.6991176470588,35,0,"Mr"
"351","0","3","male",15,7.2292,2,"Mr"
"352","0","3","male",25,17.8,1,"Mr"
"353","0","3","male",29.6991176470588,7.225,0,"Mr"
"354","0","3","male",28,9.5,0,"Mr"
"355","1","1","female",22,55,1,"Miss"
"356","0","2","female",38,13,0,"Miss"
"357","1","3","female",29.6991176470588,7.8792,0,"Miss"
"358","1","3","female",29.6991176470588,7.8792,0,"Miss"
"359","0","3","male",40,27.9,5,"Mr"
"360","0","2","male",29,27.7208,1,"Mr"
"361","0","3","female",45,14.4542,1,"Mrs"
"362","0","3","male",35,7.05,0,"Mr"
"363","0","3","male",29.6991176470588,15.5,1,"Mr"
"364","0","3","male",30,7.25,0,"Mr"
"365","1","1","female",60,75.25,1,"Mrs"
"366","1","3","female",29.6991176470588,7.2292,0,"Mrs"
"367","1","3","female",29.6991176470588,7.75,0,"Miss"
"368","1","1","female",24,69.3,0,"Noble female"
"369","1","1","male",25,55.4417,1,"Mr"
"370","0","3","male",18,6.4958,1,"Mr"
"371","0","3","male",19,8.05,0,"Mr"
"372","0","1","male",22,135.6333,0,"Mr"
"373","0","3","female",3,21.075,4,"Miss"
"374","1","1","female",29.6991176470588,82.1708,1,"Mrs"
"375","1","3","female",22,7.25,0,"Miss"
"376","0","1","male",27,211.5,2,"Mr"
"377","0","3","male",20,4.0125,0,"Mr"
"378","0","3","male",19,7.775,0,"Mr"
"379","1","1","female",42,227.525,0,"Miss"
"380","1","3","female",1,15.7417,2,"Miss"
"381","0","3","male",32,7.925,0,"Mr"
"382","1","1","female",35,52,1,"Mrs"
"383","0","3","male",29.6991176470588,7.8958,0,"Mr"
"384","0","2","male",18,73.5,0,"Mr"
"385","0","3","male",1,46.9,7,"Master"
"386","1","2","female",36,13,0,"Miss"
"387","0","3","male",29.6991176470588,7.7292,0,"Mr"
"388","1","2","female",17,12,0,"Miss"
"389","1","1","male",36,120,3,"Mr"
"390","1","3","male",21,7.7958,0,"Mr"
"391","0","3","male",28,7.925,2,"Mr"
"392","1","1","female",23,113.275,1,"Miss"
"393","1","3","female",24,16.7,2,"Mrs"
"394","0","3","male",22,7.7958,0,"Mr"
"395","0","3","female",31,7.8542,0,"Miss"
"396","0","2","male",46,26,0,"Mr"
"397","0","2","male",23,10.5,0,"Noble male"
"398","1","2","female",28,12.65,0,"Mrs"
"399","1","3","male",39,7.925,0,"Mr"
"400","0","3","male",26,8.05,0,"Mr"
"401","0","3","female",21,9.825,1,"Miss"
"402","0","3","male",28,15.85,1,"Mr"
"403","0","3","female",20,8.6625,0,"Miss"
"404","0","2","male",34,21,1,"Mr"
"405","0","3","male",51,7.75,0,"Mr"
"406","1","2","male",3,18.75,2,"Master"
"407","0","3","male",21,7.775,0,"Mr"
"408","0","3","female",29.6991176470588,25.4667,4,"Miss"
"409","0","3","male",29.6991176470588,7.8958,0,"Mr"
"410","0","3","male",29.6991176470588,6.8583,0,"Mr"
"411","1","1","female",33,90,1,"Miss"
"412","0","2","male",29.6991176470588,0,0,"Mr"
"413","1","3","male",44,7.925,0,"Mr"
"414","0","3","female",29.6991176470588,8.05,0,"Mrs"
"415","1","2","female",34,32.5,2,"Mrs"
"416","1","2","female",18,13,2,"Miss"
"417","0","2","male",30,13,0,"Mr"
"418","0","3","female",10,24.15,2,"Miss"
"419","0","3","male",29.6991176470588,7.8958,0,"Mr"
"420","0","3","male",21,7.7333,0,"Mr"
"421","0","3","male",29,7.875,0,"Mr"
"422","0","3","female",28,14.4,2,"Mrs"
"423","0","3","male",18,20.2125,2,"Mr"
"424","0","3","male",29.6991176470588,7.25,0,"Mr"
"425","1","2","female",28,26,1,"Mrs"
"426","1","2","female",19,26,0,"Miss"
"427","0","3","male",29.6991176470588,7.75,0,"Mr"
"428","1","3","male",32,8.05,0,"Mr"
"429","1","1","male",28,26.55,0,"Mr"
"430","1","3","female",29.6991176470588,16.1,1,"Mrs"
"431","1","2","female",42,26,1,"Mrs"
"432","0","3","male",17,7.125,0,"Mr"
"433","0","1","male",50,55.9,1,"Mr"
"434","1","1","female",14,120,3,"Miss"
"435","0","3","female",21,34.375,4,"Miss"
"436","1","2","female",24,18.75,5,"Mrs"
"437","0","1","male",64,263,5,"Mr"
"438","0","2","male",31,10.5,0,"Mr"
"439","1","2","female",45,26.25,2,"Mrs"
"440","0","3","male",20,9.5,0,"Mr"
"441","0","3","male",25,7.775,1,"Mr"
"442","1","2","female",28,13,0,"Noble female"
"443","1","3","male",29.6991176470588,8.1125,0,"Mr"
"444","1","1","male",4,81.8583,2,"Master"
"445","1","2","female",13,19.5,1,"Miss"
"446","1","1","male",34,26.55,0,"Mr"
"447","1","3","female",5,19.2583,3,"Miss"
"448","1","1","male",52,30.5,0,"Noble male"
"449","0","2","male",36,27.75,3,"Mr"
"450","0","3","male",29.6991176470588,19.9667,1,"Mr"
"451","0","1","male",30,27.75,0,"Mr"
"452","1","1","male",49,89.1042,1,"Mr"
"453","0","3","male",29.6991176470588,8.05,0,"Mr"
"454","1","3","male",29,7.8958,0,"Mr"
"455","0","1","male",65,26.55,0,"Mr"
"456","1","1","female",29.6991176470588,51.8625,1,"Mrs"
"457","1","2","female",50,10.5,0,"Miss"
"458","0","3","male",29.6991176470588,7.75,0,"Mr"
"459","1","1","male",48,26.55,0,"Mr"
"460","0","3","male",34,8.05,0,"Mr"
"461","0","1","male",47,38.5,0,"Mr"
"462","0","2","male",48,13,0,"Mr"
"463","0","3","male",29.6991176470588,8.05,0,"Mr"
"464","0","3","male",38,7.05,0,"Mr"
"465","0","2","male",29.6991176470588,0,0,"Mr"
"466","0","1","male",56,26.55,0,"Mr"
"467","0","3","male",29.6991176470588,7.725,0,"Mr"
"468","1","3","female",0.75,19.2583,3,"Miss"
"469","0","3","male",29.6991176470588,7.25,0,"Mr"
"470","0","3","male",38,8.6625,0,"Mr"
"471","1","2","female",33,27.75,3,"Mrs"
"472","1","2","female",23,13.7917,0,"Mrs"
"473","0","3","female",22,9.8375,0,"Miss"
"474","0","1","male",29.6991176470588,52,0,"Mr"
"475","0","2","male",34,21,1,"Mr"
"476","0","3","male",29,7.0458,1,"Mr"
"477","0","3","male",22,7.5208,0,"Mr"
"478","1","3","female",2,12.2875,1,"Miss"
"479","0","3","male",9,46.9,7,"Master"
"480","0","2","male",29.6991176470588,0,0,"Mr"
"481","0","3","male",50,8.05,0,"Mr"
"482","1","3","female",63,9.5875,0,"Mrs"
"483","1","1","male",25,91.0792,1,"Mr"
"484","0","3","female",29.6991176470588,25.4667,4,"Miss"
"485","1","1","female",35,90,1,"Mrs"
"486","0","1","male",58,29.7,0,"Mr"
"487","0","3","male",30,8.05,0,"Mr"
"488","1","3","male",9,15.9,2,"Master"
"489","0","3","male",29.6991176470588,19.9667,1,"Mr"
"490","0","3","male",21,7.25,0,"Mr"
"491","0","1","male",55,30.5,0,"Mr"
"492","0","3","male",21,8.05,0,"Mr"
"493","0","3","male",29.6991176470588,14.4583,0,"Mr"
"494","1","1","female",54,78.2667,1,"Miss"
"495","0","3","male",29.6991176470588,15.1,0,"Mr"
"496","0","1","female",25,151.55,3,"Mrs"
"497","0","3","male",24,7.7958,0,"Mr"
"498","0","3","male",17,8.6625,0,"Mr"
"499","0","3","female",21,7.75,0,"Miss"
"500","0","3","female",29.6991176470588,7.6292,0,"Miss"
"501","0","3","female",37,9.5875,0,"Miss"
"502","1","1","female",16,86.5,0,"Miss"
"503","0","1","male",18,108.9,1,"Mr"
"504","1","2","female",33,26,2,"Mrs"
"505","1","1","male",29.6991176470588,26.55,0,"Mr"
"506","0","3","male",28,22.525,0,"Mr"
"507","1","3","male",26,56.4958,0,"Mr"
"508","1","3","male",29,7.75,0,"Mr"
"509","0","3","male",29.6991176470588,8.05,0,"Mr"
"510","1","1","male",36,26.2875,0,"Mr"
"511","1","1","female",54,59.4,1,"Mrs"
"512","0","3","male",24,7.4958,0,"Mr"
"513","0","1","male",47,34.0208,0,"Mr"
"514","1","2","female",34,10.5,0,"Mrs"
"515","0","3","male",29.6991176470588,24.15,0,"Mr"
"516","1","2","female",36,26,1,"Mrs"
"517","0","3","male",32,7.8958,0,"Mr"
"518","1","1","female",30,93.5,0,"Miss"
"519","0","3","male",22,7.8958,0,"Mr"
"520","0","3","male",29.6991176470588,7.225,0,"Mr"
"521","1","1","female",44,57.9792,1,"Mrs"
"522","0","3","male",29.6991176470588,7.2292,0,"Mr"
"523","0","3","male",40.5,7.75,0,"Mr"
"524","1","2","female",50,10.5,0,"Miss"
"525","0","1","male",29.6991176470588,221.7792,0,"Mr"
"526","0","3","male",39,7.925,0,"Mr"
"527","0","2","male",23,11.5,3,"Mr"
"528","1","2","female",2,26,2,"Miss"
"529","0","3","male",29.6991176470588,7.2292,0,"Mr"
"530","0","3","male",17,7.2292,2,"Mr"
"531","1","3","female",29.6991176470588,22.3583,2,"Mrs"
"532","0","3","female",30,8.6625,0,"Miss"
"533","1","2","female",7,26.25,2,"Miss"
"534","0","1","male",45,26.55,0,"Noble male"
"535","1","1","female",30,106.425,0,"Miss"
"536","0","3","male",29.6991176470588,14.5,0,"Mr"
"537","1","1","female",22,49.5,2,"Miss"
"538","1","1","female",36,71,2,"Miss"
"539","0","3","female",9,31.275,6,"Miss"
"540","0","3","female",11,31.275,6,"Miss"
"541","1","2","male",32,26,1,"Mr"
"542","0","1","male",50,106.425,1,"Mr"
"543","0","1","male",64,26,0,"Mr"
"544","1","2","female",19,26,1,"Mrs"
"545","1","2","male",29.6991176470588,13.8625,0,"Mr"
"546","0","3","male",33,20.525,2,"Mr"
"547","1","2","male",8,36.75,2,"Master"
"548","1","1","male",17,110.8833,2,"Mr"
"549","0","2","male",27,26,0,"Mr"
"550","0","3","male",29.6991176470588,7.8292,0,"Mr"
"551","1","3","male",22,7.225,0,"Mr"
"552","1","3","female",22,7.775,0,"Miss"
"553","0","1","male",62,26.55,0,"Mr"
"554","1","1","female",48,39.6,1,"Noble female"
"555","0","1","male",29.6991176470588,227.525,0,"Mr"
"556","1","1","female",39,79.65,2,"Mrs"
"557","1","3","female",36,17.4,1,"Mrs"
"558","0","3","male",29.6991176470588,7.75,0,"Mr"
"559","0","3","male",40,7.8958,0,"Mr"
"560","0","2","male",28,13.5,0,"Mr"
"561","0","3","male",29.6991176470588,8.05,0,"Mr"
"562","0","3","female",29.6991176470588,8.05,0,"Miss"
"563","0","3","male",24,24.15,2,"Mr"
"564","0","3","male",19,7.8958,0,"Mr"
"565","0","3","female",29,21.075,4,"Mrs"
"566","0","3","male",29.6991176470588,7.2292,0,"Mr"
"567","1","3","male",32,7.8542,0,"Mr"
"568","1","2","male",62,10.5,0,"Mr"
"569","1","1","female",53,51.4792,2,"Mrs"
"570","1","1","male",36,26.3875,0,"Mr"
"571","1","3","female",29.6991176470588,7.75,0,"Miss"
